Participant	Group	Trial	PNBConfid	AuscConfid	HeartConfid
1	i	Pre	SD	SA	SD
1	i	Post	D	SA	SD
1	i	Ret	D	SA	SD
2	i	Pre	SD	A	SD
2	i	Post	D	A	SD
2	i	Ret	SD	A	SD
3	c	Pre	SD	SA	SD
3	c	Post	A	SA	SD
3	c	Ret	D	SA	SD
4	i	Pre	SD	SA	SD
4	i	Post	SD	SA	SD
4	i	Ret	SD	SA	SD
5	i	Pre	SD	SA	SD
5	i	Post	D	SA	SD
5	i	Ret	D	SA	SD
6	i	Pre	D	SA	SD
6	i	Post	D	SA	SD
6	i	Ret	D	SA	SD
7	c	Pre	D	SA	SD
7	c	Post	D	SA	SD
7	c	Ret	D	SA	SD
8	i	Pre	D	SA	SD
8	i	Post	SA	SA	SD
8	i	Ret	A	SA	SD
9	c	Pre	SD	SA	SD
9	c	Post	A	SA	SD
9	c	Ret	D	SA	SD
10	c	Pre	SD	SA	SD
10	c	Post	D	SA	SD
10	c	Ret	D	SA	SD
11	i	Pre	SD	SA	SD
11	i	Post	D	SA	SD
11	i	Ret	D	SA	SD
12	i	Pre	D	SA	SD
12	i	Post	A	A	SD
12	i	Ret	A	A	SD
13	c	Pre	SD	SA	SD
13	c	Post	D	SA	SD
13	c	Ret	D	SA	SD
14	c	Pre	SD	SA	SD
14	c	Post	SD	SA	SD
14	c	Ret	D	SA	SD
15	c	Pre	D	SA	SD
15	c	Post	A	SA	SD
15	c	Ret	A	SA	SD
16	i	Pre	D	SA	SD
16	i	Post	A	SA	SD
16	i	Ret	D	SA	SD
17	i	Pre	D	SA	SD
17	i	Post	A	SA	SD
17	i	Ret	A	SA	SD
18	c	Pre	SD	SA	SD
18	c	Post	D	SA	SD
18	c	Ret	D	SA	SD
19	i	Pre	SD	SA	SD
19	i	Post	A	SA	SD
19	i	Ret	D	SA	SD
20	c	Pre	SD	SA	SD
20	c	Post	D	SA	SD
20	c	Ret	D	SA	SD
21	i	Pre	SD	SA	SD
21	i	Post	D	SA	SD
21	i	Ret	D	SA	SD
22	c	Pre	D	SA	SD
22	c	Post	D	SA	SD
22	c	Ret	D	SA	SD
23	i	Pre	SD	SA	SD
23	i	Post	D	SA	SD
23	i	Ret	SD	SA	SD
24	c	Pre	SD	SA	SD
24	c	Post	D	SA	SD
24	c	Ret	D	SA	SD
25	c	Pre	SD	SA	SD
25	c	Post	D	SA	SD
25	c	Ret	D	SA	SD
26	c	Pre	D	SA	SD
26	c	Post	D	SA	SD
26	c	Ret	SD	SA	SD
27	i	Pre	SD	SA	SD
27	i	Post	A	SA	SD
27	i	Ret	D	SA	SD
28	c	Pre	SD	SA	SD
28	c	Post	D	SA	SD
28	c	Ret	D	SA	SD
