Reviewer	Participant	Group	Trial	Trial(coded)	1.Position	2.USplacement	3.Transducer	4.USSettings	5.Holdsprobe	6.USOrientation	7.IDTarget	8.NeedleAlign	9.Tipmaintain	10.Regaintip	11.Aspirate	12.Needletip	13.Intraneural	14.Aspiration	15.Needletip	16.Adjustments	17.InjectionPressure	18.Spread	TotalChecklistScore	Globalscore
1	1	i	Post	BLACKCAT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	17	4
2	1	i	Post	blackcat	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	17	3
1	1	i	Pre	REDGORILLA	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	6	2
2	1	i	Pre	redgorilla	1	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	8	2
1	1	i	Ret	GREYDOG	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	14	4
2	1	i	Ret	greydog	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	16	5
1	2	i	Post	BLUEGORILLA	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17	5
2	2	i	Post	bluegorilla	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	17	4
1	2	i	Pre	SILVERFROG	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	7	2
2	2	i	Pre	silverfrog	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	6	1
1	2	i	Ret	ORANGECAT	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	13	3
2	2	i	Ret	orangecat	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	15	4
1	3	c	Post	PINKFROG	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	14	3
2	3	c	Post	pinkfrog	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17	4
1	3	c	Pre	PINKDOG	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	5	1
2	3	c	Pre	pinkdog	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	5	2
1	3	c	Ret	GREENGORILLA	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	15	3
2	3	c	Ret	greengorilla	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	14	3
1	4	i	Post	SILVERDOG	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	14	3
2	4	i	Post	silverdog	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	13	3
1	4	i	Pre	PURPLECAT	0	0	1	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	11	3
2	4	i	Pre	purplecat	0	0	1	1	0	1	1	1	1	1	0	1	0	0	1	1	0	1	11	3
1	4	i	Ret	GREYFROG	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	9	3
2	4	i	Ret	greyfrog	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	8	3
1	5	i	Post	WHITECAT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	17	4
2	5	i	Post	whitecat	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17	4
1	5	i	Pre	YELLOWGORILLA	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	8	2
2	5	i	Pre	yellowgorilla	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	6	1
1	5	i	Ret	WHITEDOG	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	14	3
2	5	i	Ret	whitedog	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	14	4
